Task ID,Task Description,Owner,Due Date,Status,Priority,Notes,Dependencies,Date Updated
MKT-001,Create content calendar for Q1 2026,"Liz, Patricia, Gus","Dec 20, 2025",Not Started,High,Plan all social media and content,,"Dec 2, 2025"
MKT-002,Finalize flyer design,"Liz, Patricia","Dec 15, 2025",In Progress,High,Design in progress,,"Dec 2, 2025"
MKT-003,Feature member stories on social media,"Liz, Patricia, Gus",Ongoing,In Progress,Medium,Why runners love Bronte Runners,,"Dec 2, 2025"
MKT-004,Develop interview/video content,"Liz, Patricia, Myles","Jan 15, 2026",Not Started,Medium,Myles volunteered for video content,,"Dec 2, 2025"
MKT-005,Create training tip videos ('Tip of the Week'),"Liz, Patricia",Ongoing,Not Started,Medium,"Training, nutrition tips",,"Dec 2, 2025"
MKT-006,Arrange window displays at local businesses,"Liz, Patricia","Jan 31, 2026",Not Started,Medium,"Starbucks, Second Cup, Peach Coffee",,"Dec 2, 2025"
MKT-007,Create email templates for outreach,"Liz, Patricia","Dec 20, 2025",Not Started,High,"Workplace, school newsletters, gyms",,"Dec 2, 2025"
MKT-008,Post in Oakville Facebook groups,"Gus, Myles",Ongoing,Not Started,High,Myles volunteered to post,,"Dec 2, 2025"
MKT-009,Confirm Robbie Burns race partnership (Jan 18),"Greg K., Greg Pace","Dec 20, 2025",Not Started,High,20 Bronte runners commit for booth opportunity,,"Dec 2, 2025"
MKT-010,Attend Robbie Burns race with booth,Team,"Jan 18, 2026",Not Started,High,"Promotional booth, 20 runners participate",MKT-009,"Dec 2, 2025"
MKT-011,Contact elementary schools for newsletter inclusion,"Liz, Patricia","Jan 10, 2026",Not Started,Medium,After New Year - resolution timing,,"Dec 2, 2025"
MKT-012,Reach out to gyms with promotional materials,"Liz, Patricia","Jan 15, 2026",Not Started,Medium,"GoodLife, YMCA, boutique gyms",,"Dec 2, 2025"
MKT-013,Contact ACE about newsletter inclusion,Greg K.,"Jan 10, 2026",Not Started,Medium,After New Year,,"Dec 2, 2025"
MKT-014,Collect photos/videos from team (Google Drive),All team,"Jan 7, 2026",Not Started,High,Before January meeting,,"Dec 2, 2025"
MKT-015,Place limited posters around town (~10),"Liz, Patricia","Feb 15, 2026",Not Started,Low,,,"Dec 2, 2025"
,,,,,,,,
SOCIAL MEDIA ACCOUNTS,,,,,,,,
,Facebook page - Created and active,,,Completed,,,,
,Instagram page - Created and active,,,Completed,,,,
,Twitter - TBD,,,,,,,
,LinkedIn - TBD,,,,,,,
,,,,,,,,
CONTENT NEEDS,,,,,,,,
,Photos from Saturday/Sunday runs,,,,,,,
,Video clips of runners,,,,,,,
,Bronte area scenic shots,,,,,,,
,Group photos and action shots,,,,,,,
,Personal stories from members,,,,,,,
